Timestamp,Distance
"2022-05-31 11:23:19",219
"2022-05-31 11:23:20",219
"2022-05-31 11:23:21",219
"2022-05-31 11:23:22",219
"2022-05-31 11:23:23",219
"2022-05-31 11:23:24",219
"2022-05-31 11:23:25",219
"2022-05-31 11:23:26",219
"2022-05-31 11:23:27",219
"2022-05-31 11:23:28",219
"2022-05-31 11:23:29",219
"2022-05-31 11:23:30",219
"2022-05-31 11:23:31",219
"2022-05-31 11:23:32",219
"2022-05-31 11:23:33",219
"2022-05-31 11:23:34",219
"2022-05-31 11:23:35",219
"2022-05-31 11:23:36",219
"2022-05-31 11:23:37",219
"2022-05-31 11:23:38",219
"2022-05-31 11:23:39",219
"2022-05-31 11:23:40",219
"2022-05-31 11:23:41",219
"2022-05-31 11:23:42",219
"2022-05-31 11:23:43",219
"2022-05-31 11:23:44",219
"2022-05-31 11:23:45",219
"2022-05-31 11:23:46",219
"2022-05-31 11:23:47",219
"2022-05-31 11:23:48",219
"2022-05-31 11:23:49",219
"2022-05-31 11:23:50",219
"2022-05-31 11:23:51",219
"2022-05-31 11:23:52",219
"2022-05-31 11:23:53",219
"2022-05-31 11:23:54",219
"2022-05-31 11:23:55",219
"2022-05-31 11:23:56",219
"2022-05-31 11:23:57",219
"2022-05-31 11:23:58",219
"2022-05-31 11:23:59",219
"2022-05-31 11:24:00",219
"2022-05-31 11:24:01",219
"2022-05-31 11:24:02",219
"2022-05-31 11:24:03",219
"2022-05-31 11:24:04",219
"2022-05-31 11:24:05",219
"2022-05-31 11:24:06",219
"2022-05-31 11:24:07",219
"2022-05-31 11:24:08",219
"2022-05-31 11:24:09",219
"2022-05-31 11:24:10",219
"2022-05-31 11:24:11",219
"2022-05-31 11:24:12",219
"2022-05-31 11:24:13",219
"2022-05-31 11:24:14",219
"2022-05-31 11:24:15",219
"2022-05-31 11:24:17",219
"2022-05-31 11:24:18",219
"2022-05-31 11:24:19",219
"2022-05-31 11:24:20",219
"2022-05-31 11:24:21",219
"2022-05-31 11:24:22",219
"2022-05-31 11:24:23",219
"2022-05-31 11:24:24",219
"2022-05-31 11:24:25",219
"2022-05-31 11:24:26",219
"2022-05-31 11:24:27",219
"2022-05-31 11:24:28",219
"2022-05-31 11:24:29",219
"2022-05-31 11:24:30",219
"2022-05-31 11:24:31",219
"2022-05-31 11:24:32",219
"2022-05-31 11:24:33",219
"2022-05-31 11:24:34",219
